2.7055,4.6052,6.2514,7.7794
2.7216,4.6253,6.2743,7.8047
2.7378,4.6456,6.2975,7.8302
2.7542,4.6661,6.3209,7.8559
2.7708,4.6868,6.3445,7.8819
2.7875,4.7078,6.3684,7.9082
2.8045,4.7289,6.3925,7.9347
2.8217,4.7503,6.4169,7.9615
2.839,4.7719,6.4415,7.9885
2.8566,4.7938,6.4663,8.0158
2.8744,4.8159,6.4915,8.0434
2.8924,4.8382,6.5169,8.0713
2.9106,4.8608,6.5425,8.0995
2.929,4.8837,6.5685,8.128
2.9477,4.9068,6.5947,8.1568
2.9666,4.9302,6.6213,8.1859
2.9858,4.9539,6.6481,8.2154
3.0052,4.9778,6.6753,8.2451
3.0248,5.0021,6.7028,8.2753
3.0447,5.0266,6.7306,8.3057
3.0649,5.0515,6.7587,8.3365
3.0854,5.0766,6.7872,8.3677
3.1061,5.1021,6.816,8.3993
3.1271,5.1279,6.8452,8.4312
3.1484,5.154,6.8747,8.4635
3.1701,5.1805,6.9046,8.4963
3.192,5.2074,6.935,8.5294
3.2142,5.2346,6.9657,8.563
3.2368,5.2622,6.9968,8.597
3.2597,5.2902,7.0283,8.6315
3.283,5.3185,7.0603,8.6664
3.3067,5.3473,7.0927,8.7018
3.3306,5.3765,7.1256,8.7377
3.355,5.4061,7.159,8.7741
3.3798,5.4362,7.1928,8.811
3.405,5.4667,7.2271,8.8485
3.4306,5.4977,7.262,8.8865
3.4566,5.5292,7.2974,8.9251
3.4831,5.5612,7.3333,8.9642
3.51,5.5938,7.3698,9.004
3.5374,5.6268,7.4069,9.0444
3.5653,5.6604,7.4446,9.0854
3.5937,5.6946,7.4829,9.1271
3.6226,5.7294,7.5218,9.1695
3.6521,5.7648,7.5615,9.2126
3.6821,5.8008,7.6018,9.2564
3.7127,5.8375,7.6428,9.301
3.7439,5.8749,7.6846,9.3464
3.7758,5.913,7.7272,9.3927
3.8083,5.9519,7.7705,9.4398
3.8415,5.9915,7.8147,9.4877
3.8754,6.0319,7.8598,9.5366
3.91,6.0731,7.9058,9.5865
3.9454,6.1152,7.9527,9.6374
3.9816,6.1582,8.0006,9.6893
4.0186,6.2022,8.0495,9.7423
4.0566,6.2471,8.0995,9.7964
4.0954,6.2931,8.1506,9.8518
4.1352,6.3402,8.2029,9.9084
4.176,6.3884,8.2564,9.9663
4.2179,6.4378,8.3112,10.026
4.2609,6.4884,8.3673,10.086
4.305,6.5403,8.4249,10.148
4.3504,6.5937,8.484,10.212
4.3971,6.6485,8.5446,10.278
4.4452,6.7048,8.6069,10.345
4.4947,6.7628,8.671,10.414
4.5458,6.8225,8.737,10.485
4.5985,6.884,8.8049,10.559
4.653,6.9475,8.875,10.634
4.7093,7.0131,8.9473,10.712
4.7676,7.0809,9.022,10.792
4.8281,7.1511,9.0992,10.875
4.8908,7.2238,9.1793,10.962
4.956,7.2993,9.2622,11.051
5.0239,7.3778,9.3484,11.143
5.0946,7.4594,9.438,11.24
5.1685,7.5445,9.5314,11.34
5.2458,7.6334,9.6288,11.444
5.3268,7.7265,9.7307,11.553
5.4119,7.824,9.8374,11.668
5.5015,7.9266,9.9495,11.788
5.5961,8.0348,10.068,11.914
5.6964,8.1491,10.192,12.048
5.8029,8.2703,10.324,12.189
5.9165,8.3994,10.465,12.339
6.0381,8.5374,10.615,12.499
6.1691,8.6856,10.776,12.671
6.3109,8.8457,10.95,12.856
6.4653,9.0197,11.139,13.057
6.6349,9.2103,11.345,13.277
6.8228,9.4211,11.573,13.519
7.0335,9.6566,11.827,13.789
7.273,9.9237,12.115,14.094
7.5503,10.232,12.447,14.446
7.8794,10.597,12.838,14.86
8.2838,11.043,13.316,15.366
8.8075,11.618,13.931,16.014
9.5495,12.429,14.796,16.924
10.828,13.816,16.266,18.467
